Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 16.67      0.02     0.02    53848     0.00     0.00  void std::vector<Edge, std::allocator<Edge> >::_M_realloc_insert<int&, long long&>(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, int&, long long&)
 12.50      0.04     0.01   110445     0.00     0.00  std::tuple_element<1ul, std::tuple<int, int, long long> >::type&& std::get<1ul, int, int, long long>(std::tuple<int, int, long long>&&)
  8.33      0.04     0.01  1271592     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  8.33      0.06     0.01  1260057     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::__normal_iterator(Edge* const&)
  8.33      0.07     0.01   524287     0.00     0.00  std::_Tuple_impl<2ul, long long>::_Tuple_impl(std::_Tuple_impl<2ul, long long>&&)
  8.33      0.07     0.01   287217     0.00     0.00  std::_Head_base<2ul, long long, false>::_Head_base<long long&>(long long&)
  8.33      0.09     0.01   277274     0.00     0.00  std::tuple_element<0ul, std::tuple<int, int, long long> >::type&& std::get<0ul, int, int, long long>(std::tuple<int, int, long long>&&)
  8.33      0.10     0.01   183079     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::operator[](unsigned long) const
  8.33      0.10     0.01                             _GLOBAL__sub_I__Z11exportToCSVRKSt6vectorIxSaIxEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEi
  4.17      0.11     0.01  5211998     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  4.17      0.12     0.01  3777374     0.00     0.00  long long& std::forward<long long&>(std::remove_reference<long long&>::type&)
  4.17      0.12     0.01   165655     0.00     0.00  std::_Head_base<0ul, int, false>::_M_head(std::_Head_base<0ul, int, false>&)
  0.00      0.12     0.00  2056322     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.12     0.00  1885428     0.00     0.00  Edge* std::__addressof<Edge>(Edge&)
  0.00      0.12     0.00  1572861     0.00     0.00  std::tuple<int, int, long long>* std::__addressof<std::tuple<int, int, long long> >(std::tuple<int, int, long long>&)
  0.00      0.12     0.00  1239257     0.00     0.00  Edge&& std::forward<Edge>(std::remove_reference<Edge>::type&)
  0.00      0.12     0.00  1171597     0.00     0.00  int const& std::__detail::_Identity::operator()<int const&>(int const&) const
  0.00      0.12     0.00  1048574     0.00     0.00  std::tuple<int, int, long long>&& std::forward<std::tuple<int, int, long long> >(std::remove_reference<std::tuple<int, int, long long> >::type&)
  0.00      0.12     0.00   719438     0.00     0.00  Edge* std::__niter_base<Edge*>(Edge*)
  0.00      0.12     0.00   619630     0.00     0.00  void std::allocator_traits<std::allocator<Edge> >::destroy<Edge>(std::allocator<Edge>&, Edge*)
  0.00      0.12     0.00   619630     0.00     0.00  void std::__relocate_object_a<Edge, Edge, std::allocator<Edge> >(Edge*, Edge*, std::allocator<Edge>&)
  0.00      0.12     0.00   619629     0.00     0.00  void __gnu_cxx::new_allocator<Edge>::destroy<Edge>(Edge*)
  0.00      0.12     0.00   619628     0.00     0.00  void __gnu_cxx::new_allocator<Edge>::construct<Edge, Edge>(Edge*, Edge&&)
  0.00      0.12     0.00   619628     0.00     0.00  std::remove_reference<Edge&>::type&& std::move<Edge&>(Edge&)
  0.00      0.12     0.00   619627     0.00     0.00  void std::allocator_traits<std::allocator<Edge> >::construct<Edge, Edge>(std::allocator<Edge>&, Edge*, Edge&&)
  0.00      0.12     0.00   615001     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.12     0.00   614990     0.00     0.00  std::hash<int>::operator()(int) const
  0.00      0.12     0.00   614990     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
