Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.29      0.02     0.02  5040947     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  7.14      0.03     0.01  2251358     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >::operator*() const
  7.14      0.04     0.01  2051377     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >::operator+(long) const
  7.14      0.05     0.01   714896     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::end()
  7.14      0.06     0.01   594433     0.00     0.00  bool __gnu_cxx::operator!=<Edge const*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > > const&)
  7.14      0.07     0.01   574445     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(unsigned long) const
  7.14      0.08     0.01   574436     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::back()
  7.14      0.09     0.01   574434     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
  7.14      0.10     0.01   556607     0.00     0.00  std::equal_to<int>::operator()(int const&, int const&) const
  7.14      0.11     0.01   479976     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::size() const
  7.14      0.12     0.01   287217     0.00     0.00  std::_Head_base<0ul, int, false>::_Head_base<int&>(int&)
  7.14      0.13     0.01       40     0.25     0.25  std::tuple<int, int, int>* std::__relocate_a_1<std::tuple<int, int, int>*, std::tuple<int, int, int>*, std::allocator<std::tuple<int, int, int> > >(std::tuple<int, int, int>*, std::tuple<int, int, int>*, std::tuple<int, int, int>*, std::allocator<std::tuple<int, int, int> >&)
  3.57      0.14     0.01  6129345     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  3.57      0.14     0.01   287217     0.00     0.00  void std::allocator_traits<std::allocator<std::tuple<int, int, int> > >::construct<std::tuple<int, int, int>, int&, int&, int&>(std::allocator<std::tuple<int, int, int> >&, std::tuple<int, int, int>*, int&, int&, int&)
  0.00      0.14     0.00  2439564     0.00     0.00  std::vector<long long, std::allocator<long long> >::operator[](unsigned long)
  0.00      0.14     0.00  2331425     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<long long, int>*, std::vector<std::pair<long long, int>, std::allocator<std::pair<long long, int> > > >::__normal_iterator(std::pair<long long, int>* const&)
  0.00      0.14     0.00  2227992     0.00     0.00  std::pair<long long, int>& std::forward<std::pair<long long, int>&>(std::remove_reference<std::pair<long long, int>&>::type&)
  0.00      0.14     0.00  2155514     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.14     0.00  1859907     0.00     0.00  Edge* std::__addressof<Edge>(Edge&)
  0.00      0.14     0.00  1696222     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::base() const
  0.00      0.14     0.00  1572861     0.00     0.00  std::tuple<int, int, int>* std::__addressof<std::tuple<int, int, int> >(std::tuple<int, int, int>&)
  0.00      0.14     0.00  1429792     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::__normal_iterator(Edge* const&)
  0.00      0.14     0.00  1239938     0.00     0.00  Edge&& std::forward<Edge>(std::remove_reference<Edge>::type&)
  0.00      0.14     0.00  1188874     0.00     0.00  __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >::base() const
  0.00      0.14     0.00  1171597     0.00     0.00  int const& std::__detail::_Identity::operator()<int const&>(int const&) const
  0.00      0.14     0.00  1162163     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator*() const
  0.00      0.14     0.00  1048574     0.00     0.00  std::tuple<int, int, int>&& std::forward<std::tuple<int, int, int> >(std::remove_reference<std::tuple<int, int, int> >::type&)
  0.00      0.14     0.00   926154     0.00     0.00  std::remove_reference<std::pair<long long, int>&>::type&& std::move<std::pair<long long, int>&>(std::pair<long long, int>&)
  0.00      0.14     0.00   719964     0.00     0.00  Edge* std::__niter_base<Edge*>(Edge*)
  0.00      0.14     0.00   637031     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.14     0.00   637025     0.00     0.00  long long&& std::forward<long long>(std::remove_reference<long long>::type&)
  0.00      0.14     0.00   619997     0.00     0.00  std::remove_reference<Edge&>::type&& std::move<Edge&>(Edge&)
  0.00      0.14     0.00   619969     0.00     0.00  void __gnu_cxx::new_allocator<Edge>::destroy<Edge>(Edge*)
  0.00      0.14     0.00   619969     0.00     0.00  void __gnu_cxx::new_allocator<Edge>::construct<Edge, Edge>(Edge*, Edge&&)
  0.00      0.14     0.00   619969     0.00     0.00  void std::allocator_traits<std::allocator<Edge> >::destroy<Edge>(std::allocator<Edge>&, Edge*)
  0.00      0.14     0.00   619969     0.00     0.00  void std::allocator_traits<std::allocator<Edge> >::construct<Edge, Edge>(std::allocator<Edge>&, Edge*, Edge&&)
  0.00      0.14     0.00   619969     0.00     0.00  void std::__relocate_object_a<Edge, Edge, std::allocator<Edge> >(Edge*, Edge*, std::allocator<Edge>&)
  0.00      0.14     0.00   615001     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.14     0.00   614990     0.00     0.00  std::hash<int>::operator()(int) const
  0.00      0.14     0.00   614990     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      0.14     0.00   614990     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      0.14     0.00   614990     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_M_cget() const
